Microns,Voltage
0,11.3
25.4,10.7
50.8,10.7
76.2,10.5
101.6,10.5
127,9.52
152.4,9.52
177.8,9.52
203.2,9.12
228.6,8.8
254,8.4
279.4,8
304.8,8
330.2,7.44
355.6,6.96
381,6.64
406.4,6.32
431.8,6
457.2,5.68
482.6,5.36
508,5.04
533.4,4.56
558.8,4.32
584.2,4.16
609.6,3.44
635,3.2
660.4,2.96
685.8,2.8
711.2,2.56
736.6,2.4
762,2.16
787.4,2
812.8,1.84
838.2,1.6
863.6,1.6
889,1.36
914.4,1.28
939.8,1.2
965.2,1.12
990.6,1.04
1016,1.04
1041.4,1.04
1066.8,1.04
1092.2,1.04
1117.6,0.8
1143,0.8
1168.4,0.8
1193.8,0.8
1219.2,0.8
1244.6,0.8
1270,0.8
